Electricity used by AHS between 23:00 hrs and 4:00 hrs

 ,Days,HS Main (kWh),LV Plug Loads (DHB),HS DL Lighting (kWh),HS DG Gym (kWh),HS Kitchen Emergency (kWh),HS M1 Chillers (kWh),HS CC Collins Center (kWh)
0,Monday 2016,555.9411764705883,41.4521568627451,128.72745098039215,122.43137254901961,184.84901960784316,0.5884313725490197,80.06470588235294
1,Tuesday 2016,569.1153846153846,46.22365384615385,136.2596153846154,127.43653846153846,173.50384615384613,0.5888461538461537,87.88653846153846
2,Wednesday 2016,568.6346153846154,44.30538461538462,140.06346153846155,126.2923076923077,177.50384615384613,0.8942307692307693,79.90961538461539
3,Thursday 2016,577.0769230769231,46.11423076923076,138.07692307692307,128.10576923076923,174.81153846153848,0.49807692307692314,93.53269230769229
4,Friday 2016,558.6037735849056,40.93679245283018,122.57358490566038,117.16037735849056,178.27924528301887,0.13056603773584904,102.48679245283019
5,Saturday 2016,539.811320754717,40.08603773584906,118.98867924528302,114.2509433962264,177.0698113207547,0.1607547169811321,93.69433962264151
6,Sunday 2016,525.7692307692307,39.607692307692304,119.60576923076923,113.89615384615387,171.24615384615385,0.08499999999999998,85.32692307692308
0,Monday 2017,513.6538461538462,40.9076923076923,111.37692307692308,110.98076923076925,183.86153846153846,4.3678846153846145,73.42307692307692
1,Tuesday 2017,487.7307692307692,41.17307692307692,113.3076923076923,98.26538461538462,171.5326923076923,3.8453846153846163,71.19423076923077
2,Wednesday 2017,519.9615384615385,44.7903846153846,116.73461538461538,107.3519230769231,184.99423076923074,1.6501923076923077,74.99038461538461
3,Thursday 2017,511.15384615384613,43.7,115.66153846153846,100.72884615384615,182.57307692307688,1.3386538461538462,79.72115384615384
4,Friday 2017,503.11538461538464,40.51346153846154,106.49038461538461,91.26730769230768,186.95000000000002,1.3178846153846153,90.34615384615387
5,Saturday 2017,499.84615384615387,41.949999999999996,106.09038461538464,83.86730769230768,186.31153846153845,1.3276923076923077,93.51153846153845
6,Sunday 2017,497.64150943396226,41.06792452830189,104.41509433962264,85.84528301886793,186.26415094339623,1.189433962264151,92.53584905660377
0,Monday 2018,468.54716981132077,42.56415094339622,101.45283018867924,96.29622641509434,178.67924528301887,4.406415094339622,57.06981132075472
1,Tuesday 2018,486.09615384615387,44.223076923076924,107.26923076923077,105.13653846153846,181.43846153846152,3.3524999999999996,55.315384615384616
2,Wednesday 2018,487.96153846153845,44.06346153846154,115.76923076923077,102.51346153846154,173.91538461538462,4.823269230769229,53.35576923076923
3,Thursday 2018,486.3269230769231,46.464000000000006,116.06,107.39,176.90400000000002,10.2112,56.62799999999999
4,Friday 2018,446.46153846153845,42.662,101.2,92.492,172.18,1.9695999999999998,64.69
5,Saturday 2018,467.84615384615387,44.93269230769233,107.3076923076923,81.26730769230768,178.73846153846154,2.092307692307692,64.04615384615384
6,Sunday 2018,465.03846153846155,42.851923076923086,103.59615384615384,88.725,180.9269230769231,2.066346153846154,57.800000000000004
